time,bus,walk,price,area,bal,kosuu,floor,tf,muki,year
3,0,6,1680 ,44.60 ,3.50 ,19,4,5,1,68
3,0,4,2280 ,48.87 ,4.05 ,12,2,4,1,74
3,0,7,2880 ,57.00 ,7.22 ,26,4,7,1,70
3,0,6,4980 ,88.02 ,8.70 ,30,4,8,1,74
3,0,6,9800 ,121.56 ,6.71 ,30,2,3,1,83
5,0,3,1150 ,19.12 ,0.00 ,35,8,8,1,70
5,0,1,3850 ,52.08 ,5.67 ,21,5,9,1,98
5,0,9,7580 ,78.60 ,14.10 ,68,3,4,1,99
4,0,8,2100 ,38.92 ,5.46 ,69,6,6,1,69
4,0,3,10300 ,128.66 ,9.68 ,13,1,3,1,98
4,0,8,24800 ,230.72 ,0.00 ,7,3,3,1,86
7,0,14,980 ,33.10 ,0.00 ,11,3,6,1,73
7,0,5,2500 ,55.44 ,6.30 ,42,2,8,1,73
7,0,10,3980 ,53.05 ,4.79 ,30,2,5,1,95
11,0,3,10000 ,170.85 ,13.37 ,3,2,3,1,89
13,0,10,3080 ,49.64 ,9.00 ,85,1,7,1,86
13,0,9,3960 ,54.87 ,6.30 ,13,2,3,1,1
13,0,8,5150 ,99.22 ,20.18 ,19,1,4,1,82
14,0,7,4480 ,81.19 ,0.00 ,4,1,2,1,1
14,0,7,6180 ,102.12 ,29.04 ,4,1,2,1,1
10,0,8,1980 ,51.66 ,0.00 ,39,6,6,1,75
10,0,10,2550 ,60.34 ,15.55 ,10,3,5,1,74
10,0,11,3780 ,61.74 ,7.44 ,18,3,3,1,88
10,0,8,4480 ,81.19 ,0.00 ,4,1,2,1,1
10,0,1,4980 ,84.62 ,18.38 ,102,9,9,1,76
10,0,8,5280 ,92.18 ,0.00 ,7,1,3,1,1
10,0,14,7980 ,134.23 ,33.90 ,23,3,5,1,88
10,0,7,8980 ,130.71 ,11.98 ,26,1,6,1,90
18,0,7,1780 ,42.79 ,5.04 ,29,3,8,1,86
18,0,18,1980 ,47.85 ,6.34 ,14,2,4,1,82
18,0,12,2480 ,51.88 ,6.96 ,38,1,3,1,82
18,0,15,2980 ,75.61 ,10.29 ,94,2,7,1,72
18,0,19,3580 ,73.94 ,4.16 ,41,1,6,1,97
18,0,9,3580 ,64.78 ,5.12 ,22,3,5,1,92
18,0,14,3980 ,60.13 ,6.81 ,30,2,3,1,97
18,0,14,3980 ,60.13 ,6.81 ,30,2,3,1,97
18,0,10,3980 ,89.65 ,10.90 ,21,2,3,1,84
18,0,9,4090 ,69.02 ,10.92 ,100,1,6,1,95
18,0,7,8500 ,128.15 ,22.83 ,228,1,11,1,93
21,0,18,1380 ,33.40 ,0.00 ,20,1,4,1,79
21,0,10,1460 ,47.25 ,6.48 ,56,4,4,1,73
21,0,8,1490 ,30.66 ,2.24 ,17,4,4,1,91
21,0,8,1490 ,30.66 ,2.24 ,17,4,4,1,91
21,0,19,2300 ,55.33 ,13.46 ,16,3,4,1,85
21,0,16,2580 ,40.55 ,2.92 ,27,3,5,1,91
21,0,15,3780 ,91.98 ,17.70 ,34,3,7,1,73
21,0,8,4680 ,66.19 ,7.20 ,21,4,6,1,99
